IDconsumidor,Genero,Idoso,Casado,Dependentes,Tempo_como_Cliente,Servico_Telefonia,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,TV_assinatura,Tipo_Contrato,Metodo_Pagamento,Pagamento_Mensal,Total_Pago,Churn
7590-VHVEG,Female,0,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,0.0
5575-GNVDE,Male,0,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,0.0
3668-QPYBK,Male,0,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,1.0
7795-CFOCW,Male,0,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),65.60756321839081,1840.75,0.0
8191-XWSZG,Female,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,One year,Mailed check,65.60756321839081,1022.95,0.0
9959-WOFKT,Male,0,No,Yes,71,Yes,Fiber optic,Yes,No,Yes,Two year,Bank transfer (automatic),65.60756321839081,7382.25,0.0
4190-MFLUW,Female,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,528.35,1.0
4183-MYFRB,Female,0,No,No,21,Yes,Fiber optic,No,No,No,Month-to-month,Electronic check,65.60756321839081,1862.9,0.0
8779-QRDMV,Male,1,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,39.65,1.0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.60756321839081,202.25,0.0
1066-JKSGK,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.60756321839081,20.15,1.0
3638-WEABW,Female,0,Yes,No,58,Yes,DSL,No,Yes,No,Two year,Credit card (automatic),65.60756321839081,3505.1,0.0
6322-HRPFA,Male,0,Yes,Yes,49,Yes,DSL,Yes,Yes,No,Month-to-month,Credit card (automatic),65.60756321839081,2970.3,0.0
6865-JZNKO,Female,0,No,No,30,Yes,DSL,Yes,No,No,Month-to-month,Bank transfer (automatic),65.60756321839081,1530.6,0.0
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Month-to-month,Electronic check,65.60756321839081,4749.15,1.0
8665-UTDHZ,Male,0,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.60756321839081,30.2,1.0
5248-YGIJN,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.60756321839081,6369.45,0.0
8773-HHUOZ,Female,0,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,65.60756321839081,1093.1,1.0
3841-NFECX,Female,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,No,Two year,Credit card (automatic),65.60756321839081,6766.95,0.0
4929-XIHVW,Male,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Credit card (automatic),65.60756321839081,181.65,0.0
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,One year,Mailed check,65.60756321839081,1874.45,0.0
